Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRSTNAME,FIRST,MIDDLENAME,MIDDLE,LASTNAME,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
edf2d260-9a0b-7668-ed7b-259b11812e09,1993-02-25,,999-12-5832,S99992311,X89845435X,Ms.,Man,Man114,Nakesha,Nakesha793,Barrows,Barrows492,,,S,white,nonhispanic,F,Brockton  Massachusetts  US,516 Bednar Mill,Pepperell,Massachusetts,Middlesex County,25017,1463,42.63,-71.65,212398.66,281284.26,148883
6f2973d9-7773-34eb-3a71-a52f287fe42c,2009-08-31,,999-98-8229,,,,Nicholas,Nicholas495,Angelo,Angelo118,Gleichner,Gleichner915,,,,white,nonhispanic,M,Franklin  Massachusetts  US,859 Rowe Landing,Braintree,Massachusetts,Norfolk County,25021,2184,42.17,-71.01,45705.51,860.38,141928
64a0ba30-3b8a-2c31-851b-1102c0c7f9f7,1972-02-12,,999-16-9376,S99975223,X59149624X,Mr.,Stanley,Stanley702,Timothy,Timothy142,Effertz,Effertz744,,,M,white,nonhispanic,M,Haverhill  Massachusetts  US,457 Feil Knoll,Norton,Massachusetts,Bristol County,,0,41.98,-71.18,186929.53,581038.15,145669
96f92386-9454-2b53-655e-6d6f05d4bd58,2008-09-12,,999-77-1897,S99920956,,,Derick,Derick144,Earl,Earl438,Crooks,Crooks415,,,,white,nonhispanic,M,Brockton  Massachusetts  US,652 Windler Flat,Tyngsborough,Massachusetts,Middlesex County,,0,42.71,-71.46,26627.69,26345.96,179284
3061298e-7645-88b5-5ec8-35026a6abaf1,2004-04-21,,999-34-2486,S99936988,X59759274X,Mr.,Jack,Jack927,Winfred,Winfred745,Hessel,Hessel84,,,,black,nonhispanic,M,Springfield  Massachusetts  US,691 Romaguera Loaf,Newton,Massachusetts,Middlesex County,25017,2472,42.31,-71.20,29275.97,747052.40,45926
1165246e-1413-ae86-80b6-8762fda9cdb5,1979-01-07,,999-30-7101,S99933674,X85143377X,Mrs.,Corine,Corine538,Tasha,Tasha327,Ledner,Ledner144,,Cruickshank494,M,white,nonhispanic,F,Holbrook  Massachusetts  US,240 Dicki Landing,Norfolk,Massachusetts,Norfolk County,,0,42.16,-71.31,211692.26,342202.59,168746
8a47af1c-1473-972e-d546-e343ce406498,1956-01-17,,999-27-2597,S99973040,X4497729X,Mr.,Mervin,Mervin111,Carmine,Carmine137,Bradtke,Bradtke547,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,299 Block Byway Suite 68,Franklin,Massachusetts,Norfolk County,25021,2038,42.03,-71.42,158108.01,51410.04,160226
04bdf784-d292-2362-940a-22c7b4670801,1977-04-07,,999-90-9165,S99936470,X60360272X,Mr.,Eduardo,Eduardo902,Elton,Elton404,Herzog,Herzog843,,,M,asian,nonhispanic,M,Worcester  Massachusetts  US,455 Schultz Tunnel Unit 7,Pittsfield,Massachusetts,Berkshire County,25003,1201,42.42,-73.31,22152.18,227498.46,5736
d552bc66-3eed-9e16-c327-bb8ad5fc8f22,1971-08-08,1995-04-01,999-99-9302,S99949574,X18066340X,Ms.,Sue,Sue491,Karma,Karma832,Kunde,Kunde533,,,,asian,nonhispanic,F,Concord  Massachusetts  US,336 Dickens Center Apt 46,Somerville,Massachusetts,Middlesex County,25017,2144,42.40,-71.06,213873.50,3436.14,99953
519b2f54-73d6-d05c-979e-4c81980a35b6,1986-01-15,,999-37-5571,S99935297,X51045526X,Mrs.,Cassaundra,Cassaundra447,Tamatha,Tamatha836,Mohr,Mohr916,,Kutch271,M,white,nonhispanic,F,Grafton  Massachusetts  US,293 Willms Gardens Apt 95,Fitchburg,Massachusetts,Worcester County,25027,1420,42.60,-71.84,243099.80,563842.90,60349
37e8bf3b-c1f5-4cd9-8f36-df1a9686ddc1,1978-10-02,,999-92-6611,S99962916,X84005033X,Mr.,Edwin,Edwin773,Charley,Charley358,Kerluke,Kerluke267,,,M,white,nonhispanic,M,Boston  Massachusetts  US,976 Graham Brook Apt 39,Cambridge,Massachusetts,Middlesex County,25017,2139,42.42,-71.10,102370.76,35403.71,42854
e4d79ec8-bb2f-b4d3-f549-52f78695eb20,2000-09-25,,999-98-9274,S99914336,X38001857X,Mr.,Derick,Derick144,Anibal,Anibal473,Rath,Rath779,,,,asian,nonhispanic,M,Cantho  Cần Thơ  VN,1091 Reichel Harbor,Boston,Massachusetts,Suffolk County,25025,2135,42.38,-71.08,96546.11,32316.40,134868
32cc7738-283b-1bcb-673c-95e6f2e08243,1983-05-19,,999-23-9999,S99922124,X12246047X,Mrs.,Dbora,Débora815,,,Sandoval,Sandoval902,,Leyva523,M,white,hispanic,F,Santo Domingo  National District  DO,896 Becker Well,Springfield,Massachusetts,Hampden County,25013,1103,42.10,-72.52,126752.55,330530.09,24137
5441295d-d5de-6eca-2cb3-8ac957f57184,1971-08-08,,999-99-6310,S99922713,X81197866X,Mrs.,Julian,Julian715,Kathrine,Kathrine376,Hickle,Hickle134,,Robel940,M,asian,nonhispanic,F,Woburn  Massachusetts  US,549 Rohan Crossing Unit 34,Somerville,Massachusetts,Middlesex County,25017,2138,42.43,-71.11,921010.79,522635.96,99953
f22b8da6-2fc7-3e44-c67e-5dfcdc95b328,1956-01-18,,999-75-3270,S99915727,X65307879X,Ms.,Rena,Rena430,Christopher,Christopher407,Jacobi,Jacobi462,,,S,black,nonhispanic,F,Southborough  Massachusetts  US,315 Harber Rest,Boston,Massachusetts,Suffolk County,25025,2210,42.36,-71.11,452813.49,825948.05,121948
e02da8c5-f570-012d-a26d-9c9bda60e4b4,1966-11-04,,999-70-4697,S99961037,X72416912X,Mr.,Sal,Sal878,Mickey,Mickey576,Rippin,Rippin620,,,M,black,nonhispanic,M,Natick  Massachusetts  US,430 Rosenbaum Throughway,Westford,Massachusetts,Middlesex County,,0,42.55,-71.45,171496.01,18662.04,73430
d0e02a1c-d2dd-136a-b1fb-5d29fc4aa89b,1946-12-04,2004-03-04,999-39-7314,S99953988,X27246497X,Mr.,Stanton,Stanton715,Moshe,Moshe758,Beier,Beier427,,,S,white,nonhispanic,M,Malden  Massachusetts  US,814 Cartwright Stravenue Unit 40,Mashpee,Massachusetts,Barnstable County,,0,41.60,-70.45,96792.43,69629.23,94
21b06346-d3a6-7426-f4c4-88f2efb60bed,1992-08-31,,999-89-7711,S99997317,X68407023X,Mrs.,Miss,Miss492,Tish,Tish18,Renner,Renner328,PhD,Sporer811,M,black,nonhispanic,F,West Springfield  Massachusetts  US,970 Collier Village Suite 98,Newton,Massachusetts,Middlesex County,25017,2462,42.37,-71.22,133934.47,841466.58,463839
15b24c69-a3c5-ad1a-f94c-14f3630ef974,1960-01-07,,999-70-2249,S99941954,X2215403X,Mrs.,Evelin,Evelin941,Milagros,Milagros256,Bogisich,Bogisich202,MD,Lang846,D,white,nonhispanic,F,Swampscott  Massachusetts  US,759 Bednar Quay,Leicester,Massachusetts,Worcester County,,0,42.25,-71.95,288512.14,846175.28,33420
909fc7dd-29b4-8489-352b-0dfb33194ebc,1946-12-04,2002-09-11,999-92-7384,S99943039,X82328515X,Mr.,Jacinto,Jacinto644,Gus,Gus973,Blick,Blick895,,,D,white,nonhispanic,M,Maynard  Massachusetts  US,941 Christiansen Flat Suite 66,Mashpee,Massachusetts,Barnstable County,,0,41.58,-70.49,228189.82,97106.05,94
6838a64c-1662-8907-6102-6d7808bf2317,2007-12-07,,999-79-6243,S99989486,,,Malorie,Malorie969,Moriah,Moriah648,Dickinson,Dickinson688,,,,white,nonhispanic,F,Canton  Massachusetts  US,467 Lemke Viaduct,Concord,Massachusetts,Middlesex County,,0,42.43,-71.39,48621.04,19307.07,31461
fb478ab1-d2d9-5fe8-e0c4-1d2ecee443b8,1946-12-04,,999-53-4346,S99951486,X74380986X,Mr.,Sammy,Sammy219,Adan,Adan632,Jenkins,Jenkins714,,,M,white,nonhispanic,M,Norton  Massachusetts  US,929 Dicki Throughway Apt 89,Mashpee,Massachusetts,Barnstable County,,0,41.65,-70.46,115727.98,132365.89,94
699ecb01-8d42-1de3-b43e-895f9b1834d6,1962-04-04,,999-84-1394,S99976724,X79661768X,Mr.,Miles,Miles206,Nicholas,Nicholas495,Denesik,Denesik803,,,D,white,nonhispanic,M,East Longmeadow  Massachusetts  US,645 Feeney Corner Suite 14,Pittsfield,Massachusetts,Berkshire County,25003,1201,42.47,-73.29,327122.21,644608.84,138618
c545a770-7b56-237d-d7dd-93f05bf9191a,1991-05-30,,999-83-9787,S99919241,X45350365X,Mrs.,Kizzie,Kizzie166,Yu,Yu876,Bergstrom,Bergstrom287,,Hickle134,M,white,nonhispanic,F,Worcester  Massachusetts  US,127 Krajcik Arcade Unit 56,Leominster,Massachusetts,Worcester County,25027,1453,42.57,-71.86,173840.14,762922.70,88480
a3866d8b-808b-b351-857e-acba5c819cf7,1979-02-19,,999-18-5406,S99939781,X51451771X,Ms.,Herma,Herma433,Ardis,Ardis509,Walter,Walter473,,,S,white,nonhispanic,F,Boston  Massachusetts  US,639 Cartwright Crossing,Worcester,Massachusetts,Worcester County,25027,1609,42.31,-71.88,442436.18,474290.83,72371
d61fc9ea-a2e9-3c0c-e553-3a303ebfa956,2003-12-18,,999-59-8493,S99918476,X82227762X,Ms.,Elicia,Elicia233,Zetta,Zetta950,Kuhic,Kuhic920,,,,white,nonhispanic,F,Plymouth  Massachusetts  US,1010 Hoppe Bypass,Worcester,Massachusetts,Worcester County,25027,1545,42.32,-71.76,96224.81,48241.34,141806
e03512d2-c699-31b8-2772-2b5f99ffdaf0,1972-07-22,,999-89-8959,S99965344,X52775478X,Mrs.,Myrta,Myrta75,Randy,Randy380,Von,Von197,,Jaskolski867,M,asian,nonhispanic,F,Busan  Busan  KR,727 Swift Forge,Sudbury,Massachusetts,Middlesex County,,0,42.38,-71.38,680889.29,683952.32,88867
1f7029ab-5c59-1dd6-4608-379a44503a7e,2024-03-21,,999-77-6289,,,,Lorrine,Lorrine765,France,France571,Kunde,Kunde533,,,,white,nonhispanic,F,Newbury  Massachusetts  US,140 Torp Plaza Apt 13,Braintree,Massachusetts,Norfolk County,25021,2184,42.20,-71.03,4693.90,0.00,87380
5bc6b903-8fcd-c8ea-8be6-bf2351e1f78a,1936-11-10,,999-99-2398,S99969098,X73952059X,Mr.,Marlon,Marlon619,,,Quitzon,Quitzon246,,,M,white,hispanic,M,Northampton  Massachusetts  US,686 Schaden Rest,Holyoke,Massachusetts,Hampden County,25013,1040,42.23,-72.61,188478.80,389463.36,156734
488bff1c-ccdc-f85f-a347-8bddf6c33568,1955-09-01,2020-12-24,999-62-2858,S99998018,X82422097X,Mr.,Lupe,Lupe126,Jared,Jared66,Williamson,Williamson769,,,M,white,nonhispanic,M,Everett  Massachusetts  US,386 Kulas Run,Saugus,Massachusetts,Essex County,25009,1906,42.46,-70.97,250923.73,408311.03,132251
c4c4909f-e436-536b-e4d9-e69009de73fd,1939-07-27,,999-81-7679,S99917732,X31843064X,Mr.,Theodore,Theodore876,Parker,Parker433,Denesik,Denesik803,,,M,asian,nonhispanic,M,Uxbridge  Massachusetts  US,1036 Farrell Divide,Somerville,Massachusetts,Middlesex County,25017,2144,42.46,-71.14,101727.83,254193.46,484804
491dd911-713e-05f2-b4a1-decaef39c3ae,2004-09-22,,999-31-4873,S99998374,X38711945X,Mr.,Ken,Ken316,Ernie,Ernie189,Ebert,Ebert178,,,,white,nonhispanic,M,Natick  Massachusetts  US,659 Brakus Park Apt 64,Amesbury,Massachusetts,Essex County,25009,1913,42.87,-70.93,84702.57,558218.35,104340
f2691c9a-1a27-1bbf-51b5-c85830bd18f2,1996-04-11,,999-81-6089,S99926101,X4662260X,Mr.,Hollis,Hollis7,Rick,Rick943,Gaylord,Gaylord332,,,S,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,437 Hammes Mall,Dracut,Massachusetts,Middlesex County,,0,42.70,-71.28,70823.31,21409.75,128911
404b90e6-0a96-99d2-fe3a-95927fa6e09a,2005-05-14,,999-99-8535,S99997427,,Ms.,Kazuko,Kazuko67,Deanna,Deanna833,Mertz,Mertz280,,,,white,nonhispanic,F,Canton  Massachusetts  US,235 Boyle Dam,Springfield,Massachusetts,Hampden County,25013,1109,42.08,-72.47,4824.91,202825.44,1948
d9ef5d3d-5f65-92fa-fede-c5aa4d2f125b,1965-04-21,,999-17-4766,S99979641,X33962521X,Mrs.,Leonie,Leonie332,Trinh,Trinh357,Ruecker,Ruecker817,,Wuckert783,M,white,nonhispanic,F,Rockport  Massachusetts  US,309 Abshire Spur Unit 13,Agawam,Massachusetts,Hampden County,25013,1001,42.11,-72.71,403853.02,200012.32,56921
0f513626-2d46-1178-db47-491008ec76a3,1963-06-12,,999-90-4219,S99923265,X6469305X,Mr.,Lucio,Lucio648,Melvin,Melvin857,Hermann,Hermann103,,,M,white,nonhispanic,M,Boston  Massachusetts  US,530 Rohan Loaf,Lenox,Massachusetts,Berkshire County,25003,1240,42.37,-73.23,162933.39,1011678.60,90668
f201fb88-915e-406b-4de5-ae097a3270f9,1955-09-01,,999-46-7041,S99966958,X76014613X,Mr.,Stuart,Stuart913,Arnold,Arnold338,Konopelski,Konopelski743,,,D,white,nonhispanic,M,Granby  Massachusetts  US,1071 Yundt Approach,Saugus,Massachusetts,Essex County,25009,1906,42.50,-71.02,70634.48,211547.59,132251
25f8de45-8c01-1404-2de3-3ff28059fffd,2000-01-31,,999-21-6585,S99988897,X56020168X,Ms.,Marylynn,Marylynn944,,,Quitzon,Quitzon246,,,,white,nonhispanic,F,Medford  Massachusetts  US,754 Hackett Course,Brockton,Massachusetts,Plymouth County,25023,2302,42.11,-71.02,67862.86,174029.69,92679
3c0acc7b-7f6e-f130-a86e-99fc3ff1a620,1969-09-29,,999-90-4025,S99989377,X63878948X,Mr.,Filiberto,Filiberto722,Hyman,Hyman89,Raynor,Raynor401,,,M,white,nonhispanic,M,Burlington  Massachusetts  US,882 Larkin Landing,Amesbury,Massachusetts,Essex County,25009,1913,42.84,-70.99,151755.61,26494.48,166788
b4cad395-ed6d-6de4-aa9d-c5a9d6dda1e2,2011-07-17,,999-61-1480,,,,Terese,Terese90,Tai,Tai836,Bernier,Bernier607,,,,white,nonhispanic,F,West Boylston  Massachusetts  US,908 Waters Port,Leominster,Massachusetts,Worcester County,25027,1420,42.63,-71.80,14716.01,154845.98,66584
fca67b2e-5a90-b3df-0a00-15564834e477,1956-01-14,,999-90-8496,S99969033,X15319792X,Mr.,Cliff,Cliff504,,,Flatley,Flatley871,,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,228 Nitzsche Mews,South Hadley,Massachusetts,Hampshire County,,0,42.29,-72.58,171005.17,199900.40,69680
d45d6e91-94e0-fa36-ca99-0693baf517d6,1962-07-19,,999-79-6400,S99939105,X34863257X,Mr.,Ezra,Ezra452,,,Champlin,Champlin946,,,W,asian,nonhispanic,M,Seoul  Seoul  KR,406 Veum Loaf Suite 22,Tyngsborough,Massachusetts,Middlesex County,,0,42.65,-71.40,102151.20,142973.49,163851
f7c82992-b397-769e-052a-573eb5607bd8,1979-08-14,,999-91-8704,S99914733,X2131710X,Ms.,Allene,Allene83,Alita,Alita891,Rau,Rau926,,,S,white,nonhispanic,F,Andover  Massachusetts  US,349 Kihn Viaduct Apt 99,Lynn,Massachusetts,Essex County,25009,1902,42.46,-70.90,150109.16,310897.05,141414
d3787410-0c1e-0073-c4a4-7b95aa2ca78d,1968-09-29,2023-02-10,999-28-7911,S99993509,X47035935X,Mrs.,Velda,Velda682,,,Goodwin,Goodwin327,,Koch169,D,black,hispanic,F,Bourne  Massachusetts  US,1001 Abernathy Mill,Haverhill,Massachusetts,Essex County,25009,1832,42.83,-71.10,217189.62,136035.41,91609
1fa0abd8-05eb-1d9c-bd15-9ae7d591c713,1959-12-19,,999-29-1359,S99995331,X25937721X,Mr.,Ezra,Ezra452,Carol,Carol737,Rosenbaum,Rosenbaum794,,,M,asian,nonhispanic,M,Somerville  Massachusetts  US,693 Ratke Underpass Unit 6,Woburn,Massachusetts,Middlesex County,25017,1890,42.46,-71.14,346623.77,33265.71,105618
d6ee102f-866f-ec6f-17df-015631c71de9,1951-12-07,,999-61-9220,S99919793,X86592562X,Mrs.,Rudy,Rudy520,Fumiko,Fumiko79,Lang,Lang846,,Pollich983,M,white,nonhispanic,F,Middleborough  Massachusetts  US,679 Sauer Tunnel,Middleborough,Massachusetts,Plymouth County,,0,41.91,-70.89,335420.18,792666.06,124537
2da6a59b-d1be-b5a2-5e70-48c7db89a7c0,2004-10-30,,999-15-1566,S99931760,X12328076X,Mr.,Caleb,Caleb651,Roosevelt,Roosevelt595,Fay,Fay398,,,,white,nonhispanic,M,Burlington  Massachusetts  US,363 Thiel Rue,Provincetown,Massachusetts,Barnstable County,25001,2657,42.03,-70.15,133642.48,956904.88,27957
f446ac76-8201-2f00-2c70-b234bcd6f5d6,1968-09-29,,999-77-6042,S99957251,X12550024X,Mrs.,Tova,Tova870,Waltraud,Waltraud488,Emmerich,Emmerich580,,Franecki195,D,black,hispanic,F,Haverhill  Massachusetts  US,821 Wolff View,Haverhill,Massachusetts,Essex County,25009,1835,42.78,-71.04,549462.70,186237.44,91609
4790ffeb-924e-cacc-3e3e-c752aee37827,2008-08-10,,999-30-2628,S99964526,,,Linwood,Linwood526,Randall,Randall756,Powlowski,Powlowski563,,,,white,nonhispanic,M,Duxbury  Massachusetts  US,929 Kirlin Parade Suite 82,Shrewsbury,Massachusetts,Worcester County,,0,42.32,-71.73,53700.04,0.00,40182
dbb59b5b-642e-c9b0-6787-12b69b4ff1f6,1924-12-03,2005-08-28,999-71-9216,S99920842,X35579448X,Ms.,Claris,Claris36,Vernia,Vernia453,Leffler,Leffler128,,,S,white,nonhispanic,F,Holbrook  Massachusetts  US,814 Koss Lane Unit 96,Southwick,Massachusetts,Hampden County,,0,42.07,-72.75,1015121.87,586874.80,43634
b36578e3-29e7-3496-5fa3-59bf52d8a372,1967-10-16,,999-42-7015,S99959347,X76172447X,Mr.,Arturo,Arturo47,,,Hegmann,Hegmann834,,,M,black,nonhispanic,M,Pittsfield  Massachusetts  US,584 O'Connell Bypass,Attleboro,Massachusetts,Bristol County,44007,2861,41.94,-71.29,360212.35,8661.34,115082
8fe2ee0f-27ae-37f8-987a-5126e89b827c,1984-10-03,,999-44-8862,S99970050,X25143870X,Mr.,Rick,Rick943,Tim,Tim88,Wisozk,Wisozk929,,,S,white,nonhispanic,M,Falmouth  Massachusetts  US,575 Aufderhar Dale,Brockton,Massachusetts,Plymouth County,25023,2301,42.05,-70.99,77427.87,6437.64,41733
42dae257-f944-0cd1-d7c4-9880a5b45c6d,1946-03-22,,999-67-2213,S99960033,X54431997X,Mr.,Tony,Tony646,,,Borer,Borer986,,,M,white,nonhispanic,M,Auburn  Massachusetts  US,515 VonRueden Underpass,Weymouth,Massachusetts,Norfolk County,25021,2188,42.20,-71.00,182990.48,194792.06,120938
b5fbf7b4-8c2c-52f5-d0af-d8de281ff9b4,2014-03-07,,999-48-6201,,,,Arnoldo,Arnoldo445,,,Kemmer,Kemmer137,,,,black,nonhispanic,M,Plymouth  Massachusetts  US,737 Franecki Gardens Unit 26,Rockland,Massachusetts,Plymouth County,,0,42.08,-70.88,11456.63,23710.04,38688
eaf8a2c8-3e09-dfe5-a828-c139e78b48df,1998-07-27,,999-65-6455,S99911356,X11893367X,Mr.,Riley,Riley817,Kasey,Kasey569,Abbott,Abbott774,,,,white,nonhispanic,M,Hingham  Massachusetts  US,352 Herman Rue Apt 26,North Adams,Massachusetts,Berkshire County,25003,1247,42.69,-73.13,55382.94,29477.96,34506
a8deb6f1-c1da-b680-8dd2-e12b89fa7721,1982-03-31,,999-66-9867,S99915414,X12079976X,Ms.,Dulce,Dulce933,,,Stokes,Stokes453,,,S,white,nonhispanic,F,Somerville  Massachusetts  US,907 Botsford Key Unit 33,Cheshire,Massachusetts,Berkshire County,25003,1225,42.53,-73.20,293270.92,119254.77,51609
f7af6f8a-3a9a-b607-5a63-af75e9effba1,2007-01-25,,999-96-7058,S99918066,,Ms.,Violette,Violette536,Yasuko,Yasuko490,Hessel,Hessel84,,,,white,nonhispanic,F,Cambridge  Massachusetts  US,225 Yundt Street Suite 66,Taunton,Massachusetts,Bristol County,25005,2780,41.90,-71.14,62107.59,13430.11,136330
5aa0741b-eea4-5450-9a16-c25f355931c8,1958-03-30,,999-45-8862,S99943731,X37590147X,Ms.,Madison,Madison727,Shawnta,Shawnta32,Feeney,Feeney44,,,S,white,nonhispanic,F,Southbridge  Massachusetts  US,107 Russel Forge Apt 21,Norton,Massachusetts,Bristol County,,0,41.92,-71.17,18444.04,1107783.98,22488
94e97d9b-e77d-ccd3-a24c-c6c5c0750e40,2013-07-29,,999-17-5296,,,,Rosa,Rosa195,Berta,Berta524,Sanabria,Sanabria449,,,,white,hispanic,F,San Juan  Puerto Rico  PR,100 Bahringer Dale Suite 56,Beverly,Massachusetts,Essex County,25009,1915,42.55,-70.86,4794.10,39893.73,145192
e1051b07-ee28-4912-1559-a5811890cf1f,1988-03-04,,999-68-8876,S99923538,X27342947X,Mrs.,Noreen,Noreen211,Floretta,Floretta117,MacGyver,MacGyver246,,Schoen8,M,white,nonhispanic,F,Harvard  Massachusetts  US,689 Kreiger Junction Apt 2,Dighton,Massachusetts,Bristol County,,0,41.82,-71.14,210887.02,690367.91,73337
ddbe98a8-6d73-0701-6624-0de91527b42f,1956-01-26,,999-33-6189,S99928603,X80349524X,Mrs.,Beckie,Beckie79,,,Hilpert,Hilpert278,,Goldner995,M,white,nonhispanic,F,Boston  Massachusetts  US,521 Heathcote Ville,Tyngsborough,Massachusetts,Middlesex County,,0,42.70,-71.40,209326.04,953153.71,561932
f1db38b3-1c14-e6d3-289d-368d715a67a0,2005-04-07,,999-61-8392,S99912339,X17730800X,Mr.,Jospeh,Jospeh459,Courtney,Courtney281,Raynor,Raynor401,,,,white,nonhispanic,M,Boston  Massachusetts  US,1010 Gutkowski Gardens Unit 51,Milford,Massachusetts,Worcester County,25027,1757,42.14,-71.57,59819.31,69397.38,798987
b2efcded-9bec-87b3-9067-ecd325b30a3a,1979-08-16,,999-17-5136,S99964440,X45961086X,Mrs.,Machelle,Machelle279,Artie,Artie871,Little,Little434,,Denesik803,W,white,nonhispanic,F,Fall River  Massachusetts  US,270 Bergstrom Way Suite 2,Stoneham,Massachusetts,Middlesex County,25017,2180,42.52,-71.07,280191.37,44111.18,60987
7c69afcb-9c08-0167-5f8e-fcfe43af5840,1968-05-25,,999-61-4416,S99919334,X83123296X,Mr.,Ernesto,Ernesto186,Denny,Denny560,Anderson,Anderson154,,,M,white,nonhispanic,M,Beverly  Massachusetts  US,855 Kessler Parade Apt 7,North Attleborough,Massachusetts,Bristol County,,0,42.01,-71.36,136735.99,0.00,102141
cea9d2be-5954-5d19-7b09-3fe15d5ba1b1,1956-11-02,,999-11-5232,S99969900,X66278198X,Ms.,Velva,Velva240,Kandi,Kandi717,Green,Green467,,,S,white,nonhispanic,F,Revere  Massachusetts  US,129 Cummings Knoll,Westborough,Massachusetts,Worcester County,25027,1581,42.26,-71.61,181569.80,885859.93,128111
20f9774d-853f-67d7-b6b1-c08d6fddc9c0,1991-06-22,,999-41-3114,S99999045,X22166982X,Mr.,Samuel,Samuel331,Shad,Shad704,Jakubowski,Jakubowski832,,,S,other,nonhispanic,M,Taunton  Massachusetts  US,463 O'Keefe Center Suite 35,Revere,Massachusetts,Suffolk County,25025,2151,42.42,-71.02,5866.96,117164.87,1277
